file,L,h,J,energy_per_site,fit_method,weights,fit_r_min,fit_r_upper,r_points_used,beta_X_r,beta_X_r_err,beta_X_r_lo,beta_X_r_hi,R2_I_r,beta_X_chord,beta_X_chord_lo,beta_X_chord_hi,R2_I_chord,beta_X_reported,beta_X_reported_lo,beta_X_reported_hi,X_source,xi,xi_lo,xi_hi,R2_logI_vs_r,mi_floor_used,r_max_factor,bulk_trim_fraction_applied,bulk_trim_applied
lite_results_L1024_H0p5.json,1024,0.5,1.0,-1.062694145278351,WLS,N_r,12.0,256,6,20.95192742311948,0.5040973764739586,19.55232385021543,22.351530996023527,0.997689890128492,,,,,,,,n/a,0.6847230184436409,0.6821083673748747,0.6873376695124072,0.9999924339487464,1e-12,0.5,0.15,True
lite_results_L1024_H1p0.json,1024,1.0,1.0,-1.2728848060063749,WLS,N_r,12.0,256,245,1.905057154853515,0.003490196463776364,1.8981817463323996,1.9119325633746302,0.9991969077076762,1.9720818204906831,1.9705356402456324,1.9736280007357339,0.999962069611784,1.9720818204906831,1.9705356402456324,1.9736280007357339,chord (critical),,,,,1e-12,0.5,0.15,True
lite_results_L1024_H2p0.json,1024,2.0,1.0,-2.126960334512487,WLS,N_r,12.0,256,6,20.818603585921824,0.5076259681324687,19.409203037823985,22.228004134019663,0.9976274846674585,,,,,,,,n/a,0.6890854016971723,0.687071698379177,0.6910991050151675,0.999995568835329,1e-12,0.5,0.15,True
lite_results_L2048_H0p5.json,2048,0.5,1.0,-1.063119277625858,WLS,N_r,12.0,256,6,20.952968831950393,0.5041155787259844,19.553318402431525,22.35261926146926,0.9976899374272209,,,,,,,,n/a,0.68472542187463,0.6821105504945707,0.6873402932546894,0.999992432636522,1e-12,0.5,0.15,True
lite_results_L2048_H1p0.json,2048,1.0,1.0,-1.2730621441846912,WLS,N_r,12.0,256,245,1.9707668455023637,0.0011697839082997058,1.968462600696184,1.9730710903085433,0.9999146475671222,1.9880817584419583,1.9871494013914877,1.989014115492429,0.9999862672881212,1.9880817584419583,1.9871494013914877,1.989014115492429,chord (critical),,,,,1e-12,0.5,0.15,True
lite_results_L2048_H2p0.json,2048,2.0,1.0,-2.1270245772296086,WLS,N_r,12.0,256,6,20.819659873977628,0.5076509061719798,19.410193793470977,22.229125954484278,0.9976274765086366,,,,,,,,n/a,0.68908708853397,0.6870737198955347,0.6911004571724054,0.9999955702769749,1e-12,0.5,0.15,True
lite_results_L256_H0p5.json,256,0.5,1.0,-1.0601433511933092,WLS,N_r,12.0,89,6,20.94512344283412,0.503981352226894,19.54575872963558,22.34448815603266,0.9976898017883508,,,,,,,,n/a,0.6847106677165511,0.6820945665374287,0.6873267688956735,0.9999924273250063,1e-12,0.5,0.15,True
lite_results_L256_H1p0.json,256,1.0,1.0,-1.2718220842004613,WLS,N_r,12.0,89,78,1.7783240880231312,0.009964394843187757,1.7584683064384947,1.7981798696077678,0.9976910680822878,1.9631032217776867,1.9600397849855764,1.966166658569797,0.9999547962113393,1.9631032217776867,1.9600397849855764,1.966166658569797,chord (critical),,,,,1e-12,0.5,0.15,True
lite_results_L256_H2p0.json,256,2.0,1.0,-2.126574878209759,WLS,N_r,12.0,89,6,20.811806195093418,0.5075385793764735,19.402564413769326,22.22104797641751,0.9976271109060024,,,,,,,,n/a,0.6890740842584908,0.6870617977333728,0.6910863707836088,0.9999955761172735,1e-12,0.5,0.15,True
lite_results_L512_H0p5.json,512,0.5,1.0,-1.061843880583337,WLS,N_r,12.0,179,6,20.949751227415717,0.5040524321005085,19.550257090657546,22.34924536417389,0.997689886421584,,,,,,,,n/a,0.6847193267262942,0.6821041055374063,0.6873345479151821,0.9999924309438059,1e-12,0.5,0.15,True
lite_results_L512_H1p0.json,512,1.0,1.0,-1.2725303165837458,WLS,N_r,12.0,179,168,1.8263474608548207,0.006804985607851219,1.8129086260045209,1.8397862957051205,0.9977762145472518,1.9683126441324694,1.9664615650876112,1.9701637231773277,0.9999635959863634,1.9683126441324694,1.9664615650876112,1.9701637231773277,chord (critical),,,,,1e-12,0.5,0.15,True
lite_results_L512_H2p0.json,512,2.0,1.0,-2.1268318490782443,WLS,N_r,12.0,179,6,20.81646824701827,0.5076057927167514,19.407108256964847,22.225828237071696,0.9976272530641346,,,,,,,,n/a,0.6890807100325532,0.6870686958809952,0.6910927241841113,0.9999955764260424,1e-12,0.5,0.15,True
